Started Log File:     logs/MMTK 2021-06-01 14-01-44-COM5.txt
Data Source:     COM5

1BLBLBáNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
1	604.84	12.56	-10.62	252	0	0	0	0	12.27	1	1	1	1	1	
1	585.94	13.34	-10.62	268	0	0	0	0	12.29	1	1	1	1	1	
1	548.25	14.47	-10.61	290	0	0	0	0	12.25	1	1	1	1	1	
1	525.21	15.18	-10.61	304	0	0	0	0	12.27	1	1	1	1	1	
1	492.13	15.85	-10.61	318	0	0	0	0	12.25	1	1	1	1	1	
1	440.14	16.78	-10.62	336	0	0	0	0	12.27	1	1	1	1	1	
1	400.64	17.33	-10.63	348	0	0	0	0	12.27	1	1	1	1	1	
1	337.23	18.05	-10.63	362	0	0	0	0	12.27	1	1	1	1	1	
1	285.39	18.46	-10.63	370	0	0	0	0	12.27	1	1	1	1	1	
1	210.20	18.96	-10.64	380	0	0	0	0	12.27	1	1	1	1	1	
1	162.06	19.21	-10.62	384	0	0	0	0	12.25	1	1	1	1	1	
1	82.02	19.45	-10.61	390	0	0	0	0	12.27	1	1	1	1	1	
1	29.00	19.53	-10.60	391	0	0	0	0	12.27	1	1	1	1	1	
1	400.64	19.72	-10.61	396	0	0	0	0	12.27	1	1	1	1	1	
1	400.64	20.00	-10.62	402	0	0	0	0	12.25	1	1	1	1	1	
1	400.64	20.00	-10.63	402	0	0	0	0	12.27	1	1	1	1	1	
1	400.64	20.00	-10.61	402	0	0	0	0	12.27	1	1	1	1	1	
1	400.64	20.00	-10.61	402	0	0	0	0	12.27	1	1	1	1	1	
1	31.00	19.99	-10.62	402	0	0	0	1	12.27	1	1	1	1	1	
1	86.01	19.94	-10.62	402	0	0	0	1	12.27	1	1	1	1	1	
1	161.08	19.77	-10.63	398	0	0	0	1	12.23	1	1	1	1	1	
1	218.02	19.51	-10.63	392	0	0	0	1	12.25	1	1	1	1	1	
1	284.09	19.00	-10.63	382	0	0	0	1	12.25	1	1	1	1	1	
1	332.45	18.58	-10.63	374	0	0	0	1	12.27	1	1	1	1	1	
1	404.09	17.89	-10.62	360	0	0	0	1	12.27	1	1	1	1	1	
1	436.05	17.32	-10.62	348	0	0	0	1	12.27	1	1	1	1	1	
1	473.48	16.73	-10.60	336	0	0	0	1	12.25	1	1	1	1	1	
1	522.28	15.75	-10.61	316	0	0	0	1	12.25	1	1	1	1	1	
1	549.85	15.03	-10.64	302	0	0	0	1	12.27	1	1	1	1	1	
1	582.30	13.93	-10.64	280	0	0	0	1	12.27	1	1	1	1	1	
1	604.84	13.14	-10.62	264	0	0	0	1	12.23	1	1	1	1	1	
1	622.92	11.92	-10.62	240	0	0	0	1	12.27	1	1	1	1	1	
1	627.09	11.09	-10.63	224	0	0	0	1	12.23	1	1	1	1	1	
1	629.19	9.84	-10.63	198	0	0	0	1	12.25	1	1	1	1	1	
1	625.00	9.01	-10.61	182	0	0	0	1	12.27	1	1	1	1	1	
1	610.75	7.78	-10.61	158	0	0	0	1	12.27	1	1	1	1	1	
1	595.24	6.99	-10.61	142	0	0	0	1	12.25	1	1	1	1	1	
1	576.92	6.21	-10.58	126	0	0	0	1	12.25	1	1	1	1	1	
1	540.35	5.10	-10.59	104	0	0	0	1	12.25	1	1	1	1	1	
1	508.13	4.41	-10.61	90	0	0	0	1	12.25	1	1	1	1	1	
