Started Log File:     logs/MMTK 2021-06-04 10-46-36-COM4.txt
Data Source:     COM4

1BáNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
1	710.23	12.59	-0.01	252	0	0	0	1	12.29	1	1	1	1	1	
1	710.23	11.65	-0.01	234	0	0	0	1	12.27	1	1	1	1	1	
1	710.23	10.24	-0.01	206	0	0	0	1	12.27	1	1	1	1	1	
1	710.23	9.29	-0.01	186	0	0	0	1	12.29	1	1	1	1	1	
1	710.23	8.35	-0.00	168	0	0	0	1	12.27	1	1	1	1	1	
1	710.23	6.94	-0.01	140	0	0	0	1	12.29	1	1	1	1	1	
1	694.44	5.99	0.00	120	0	0	0	1	12.29	1	1	1	1	1	
1	566.47	4.76	-0.02	96	0	0	0	1	12.27	1	1	1	1	1	
1	464.11	4.10	0.00	82	0	0	0	1	12.30	1	1	1	1	1	
1	305.37	3.36	0.02	68	0	0	0	1	12.29	1	1	1	1	1	
1	185.46	3.05	-0.00	62	0	0	0	1	12.29	1	1	1	1	1	
1	110.82	2.91	-0.01	60	0	0	0	1	12.29	1	1	1	1	1	
1	251.68	2.77	-0.00	56	0	0	0	1	12.30	1	1	1	1	1	
1	394.74	2.17	-0.00	44	0	0	0	1	12.29	1	1	1	1	1	
1	523.74	1.57	0.01	32	0	0	0	1	12.27	1	1	1	1	1	
1	620.86	1.67	-0.01	36	0	0	0	0	12.23	1	1	1	1	1	
