Started Log File:     logs/MMTK 2021-06-01 12-31-06-COM5.txt
Data Source:     COM5

‰LBLBLBáNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
1	240.08	20.00	0.00	402	0	0	0	0	12.29	1	1	1	1	1	
1	240.08	20.00	0.00	402	0	0	0	0	12.29	1	1	1	1	1	
1	100.00	19.99	0.00	402	0	0	0	1	12.29	1	1	1	1	1	
1	100.00	19.96	0.01	400	0	0	0	1	12.27	1	1	1	1	1	
1	100.00	19.91	0.02	400	0	0	0	1	12.29	1	1	1	1	1	
1	100.00	19.80	0.00	398	0	0	0	1	12.29	1	1	1	1	1	
1	100.00	19.67	0.01	394	0	0	0	1	12.25	1	1	1	1	1	
1	125.25	19.49	0.02	392	0	0	0	1	12.27	1	1	1	1	1	
1	141.30	19.31	0.01	388	0	0	0	1	12.27	1	1	1	1	1	
1	168.62	19.01	-0.00	382	0	0	0	1	12.27	1	1	1	1	1	
1	185.83	18.78	0.01	376	0	0	0	1	12.29	1	1	1	1	1	
1	209.97	18.49	0.01	372	0	0	0	1	12.27	1	1	1	1	1	
1	224.28	18.20	0.01	366	0	0	0	1	12.29	1	1	1	1	1	
1	247.36	17.73	-0.00	356	0	0	0	1	12.29	1	1	1	1	1	
1	261.87	17.39	-0.01	350	0	0	0	1	12.29	1	1	1	1	1	
1	275.74	17.03	-0.02	342	0	0	0	1	12.27	1	1	1	1	1	
1	293.89	16.46	-0.02	330	0	0	0	1	12.29	1	1	1	1	1	
1	305.87	16.06	-0.01	322	0	0	0	1	12.29	1	1	1	1	1	
1	321.61	15.44	-0.00	310	0	0	0	1	12.27	1	1	1	1	1	
1	331.27	15.00	0.01	302	0	0	0	1	12.29	1	1	1	1	1	
1	343.41	14.33	0.00	288	0	0	0	1	12.27	1	1	1	1	1	
1	351.12	13.87	0.02	278	0	0	0	1	12.27	1	1	1	1	1	
1	360.58	13.16	0.01	264	0	0	0	1	12.29	1	1	1	1	1	
1	365.50	12.67	-0.01	254	0	0	0	1	12.29	1	1	1	1	1	
1	371.29	11.94	-0.01	240	0	0	0	1	12.29	1	1	1	1	1	
1	374.25	11.44	0.01	230	0	0	0	1	12.27	1	1	1	1	1	
1	376.51	10.94	0.01	220	0	0	0	1	12.27	1	1	1	1	1	
1	377.26	10.19	0.01	206	0	0	0	1	12.27	1	1	1	1	1	
1	376.51	9.69	0.01	196	0	0	0	1	12.25	1	1	1	1	1	
1	374.25	8.94	-0.00	180	0	0	0	1	12.29	1	1	1	1	1	
1	371.29	8.44	-0.01	170	0	0	0	1	12.27	1	1	1	1	1	
1	365.50	7.71	-0.01	156	0	0	0	1	12.29	1	1	1	1	1	
1	359.88	7.22	0.01	146	0	0	0	1	12.27	1	1	1	1	1	
1	350.47	6.52	0.01	132	0	0	0	1	12.27	1	1	1	1	1	
1	342.78	6.06	-0.01	122	0	0	0	1	12.29	1	1	1	1	1	
1	330.11	5.39	0.00	110	0	0	0	1	12.29	1	1	1	1	1	
1	319.97	4.95	0.02	100	0	0	0	1	12.27	1	1	1	1	1	
1	309.41	4.54	0.02	92	0	0	0	1	12.29	1	1	1	1	1	
1	292.51	3.94	0.02	80	0	0	0	1	12.29	1	1	1	1	1	
1	279.85	3.56	0.00	72	0	0	0	1	12.27	1	1	1	1	1	
1	260.42	3.02	0.01	62	0	0	0	1	12.27	1	1	1	1	1	
1	245.74	2.69	0.02	54	0	0	0	1	12.29	1	1	1	1	1	
1	224.28	2.22	0.03	46	0	0	0	1	12.29	1	1	1	1	1	
